Index,Structure-ID,X,Y,Z,[0.001 Gene Threshold] K=13,[0.01 Gene Threshold] K=13,[85% Active Gene Threshold] K=13,[70% Edge Voxels] K=13,[Actb-74881516] K=13,[Chat-252] K=13
1240,661,54,36,34,1,1,7,11,4,9
1241,661,55,36,34,1,10,7,,4,9
1242,978,56,36,34,1,10,7,,1,9
1243,978,57,36,34,1,10,7,6,9,9
1244,978,58,36,34,4,4,7,10,4,7
1245,978,59,36,34,4,12,7,10,2,7
1246,978,58,37,34,1,5,7,11,7,9
1247,978,59,37,34,1,5,7,11,2,9
1248,852,54,26,35,9,1,2,1,0,7
1249,852,62,26,35,8,12,10,12,4,10
1250,852,53,27,35,11,8,2,7,12,10
1251,852,54,27,35,2,8,6,1,9,4
1252,852,55,27,35,9,1,2,1,0,4
1253,852,59,27,35,10,12,5,12,10,8
1254,852,61,27,35,10,12,8,12,0,7
1255,852,62,27,35,8,12,10,,4,10
1256,1098,64,27,35,0,0,0,12,7,0
1257,852,53,28,35,12,8,2,7,12,7
1258,852,54,28,35,2,8,6,3,12,4
1259,852,55,28,35,12,8,6,1,9,4
1260,852,59,28,35,10,12,5,12,4,8
1261,852,60,28,35,10,11,8,12,4,0
1262,852,61,28,35,10,11,8,,4,7
1263,852,62,28,35,8,11,10,,4,10
1264,1098,63,28,35,0,0,4,,4,1
1265,1098,64,28,35,0,0,0,12,4,0
1266,852,56,29,35,5,3,9,7,9,7
1267,852,57,29,35,10,12,5,12,9,1
1268,852,58,29,35,10,12,5,12,4,5
1269,852,59,29,35,10,11,5,,2,8
1270,852,60,29,35,10,11,8,,2,0
1271,136,61,29,35,10,11,8,,7,1
1272,136,62,29,35,8,0,10,,4,5
1273,1098,63,29,35,0,0,4,,4,10
1274,1098,64,29,35,0,0,0,,0,0
1275,1098,65,29,35,0,0,0,,6,0
1276,136,53,30,35,12,8,2,,12,4
1277,852,54,30,35,12,8,2,,12,7
1278,852,55,30,35,12,8,9,7,9,10
1279,852,56,30,35,5,4,9,12,9,5
1280,852,57,30,35,10,12,5,,6,12
1281,852,58,30,35,10,12,5,,4,8
1282,136,60,30,35,10,12,8,12,4,0
1283,136,61,30,35,10,12,8,12,10,5
1284,136,62,30,35,8,0,10,2,10,8
1285,136,63,30,35,0,0,4,2,10,10
1286,136,64,30,35,0,0,0,,0,0
1287,1098,65,30,35,0,0,0,,10,0
1288,136,53,31,35,12,8,2,,12,4
1289,136,54,31,35,12,8,2,,1,7
1290,852,55,31,35,5,4,9,,10,8
1291,136,56,31,35,5,12,9,,0,3
1292,852,57,31,35,10,12,5,,4,2
1293,136,58,31,35,10,12,5,,4,3
1294,136,59,31,35,10,12,5,12,4,5
1295,136,60,31,35,10,12,8,12,0,0
1296,136,61,31,35,10,12,8,12,0,12
1297,136,62,31,35,8,0,10,2,0,12
1298,136,63,31,35,0,0,4,2,10,10
1299,136,64,31,35,0,0,0,,0,0
1300,136,65,31,35,0,0,0,,10,0
1301,136,53,32,35,12,8,2,,12,7
1302,661,54,32,35,12,8,2,,9,10
1303,136,55,32,35,5,4,9,,10,3
1304,136,56,32,35,5,4,9,,10,6
1305,136,57,32,35,5,12,5,,4,2
1306,136,58,32,35,10,12,5,12,0,2
1307,136,59,32,35,10,12,5,12,0,5
1308,136,60,32,35,10,12,8,,0,0
1309,1048,62,32,35,8,0,10,,4,12
1310,136,63,32,35,8,0,4,,7,1
1311,136,64,32,35,0,0,0,,4,0
1312,661,53,33,35,12,8,2,1,1,1
1313,661,54,33,35,12,8,11,0,9,5
1314,661,55,33,35,11,4,11,0,12,6
1315,661,56,33,35,11,4,9,,6,6
1316,136,57,33,35,5,4,9,,4,3
1317,939,58,33,35,5,4,5,,4,6
1318,939,59,33,35,10,12,5,,0,10
1319,939,60,33,35,10,12,8,,6,0
1320,1107,64,33,35,0,0,12,,10,0
1321,661,55,34,35,11,3,11,0,12,6
1322,661,56,34,35,11,3,11,,1,8
1323,978,57,34,35,11,4,11,,10,1
1324,143,58,34,35,5,4,3,,10,5
1325,143,60,34,35,10,12,3,,4,0
1326,143,61,34,35,8,12,3,,10,1
1327,1107,63,34,35,8,6,12,,0,1
1328,661,55,35,35,11,10,7,0,7,5
1329,978,57,35,35,11,10,7,,10,4
1330,143,58,35,35,4,4,3,,4,1
1331,978,59,35,35,4,12,3,10,7,1
1332,978,60,35,35,4,12,3,10,10,0
1333,978,61,35,35,4,12,7,10,4,7
1334,978,57,36,35,1,10,7,6,9,9
1335,978,58,36,35,1,10,7,6,4,4
1336,978,59,36,35,1,5,7,6,2,4
1337,978,61,36,35,1,5,7,11,7,9
1338,978,58,37,35,1,1,7,11,10,9
1339,852,53,26,36,11,4,2,4,6,3
1340,852,53,27,36,11,4,2,4,9,12
1341,852,60,27,36,10,12,8,12,6,0
1342,852,62,27,36,8,12,10,12,4,5
1343,1098,64,27,36,0,0,0,12,2,0
1344,852,54,28,36,5,8,2,4,9,1
1345,852,60,28,36,10,12,8,12,0,0
1346,136,61,28,36,10,12,8,,0,7
1347,852,62,28,36,8,12,10,,4,5
1348,1098,64,28,36,0,0,0,12,4,0
1349,852,54,29,36,5,4,2,4,9,1
1350,852,55,29,36,5,3,9,4,9,7
1351,852,56,29,36,10,3,9,12,1,10
1352,852,57,29,36,10,12,5,12,9,10
1353,852,59,29,36,10,12,5,12,7,10
1354,852,60,29,36,10,12,8,,7,0
1355,136,61,29,36,10,12,8,,4,7
1356,136,62,29,36,8,12,10,,4,8
1357,1098,63,29,36,0,0,4,,10,5
1358,1098,64,29,36,0,0,0,12,6,0
1359,136,53,30,36,5,4,2,,6,4
1360,852,54,30,36,5,4,2,,6,1
1361,852,55,30,36,5,4,9,4,0,5
1362,852,56,30,36,10,12,9,12,6,12
1363,852,57,30,36,10,12,5,12,0,3
1364,852,58,30,36,10,12,5,,4,8
1365,136,59,30,36,10,12,5,,7,10
1366,136,60,30,36,10,12,8,12,10,0
1367,136,61,30,36,10,12,8,12,10,10
1368,136,62,30,36,8,0,10,2,10,12
1369,1098,63,30,36,0,0,4,,10,5
1370,1098,64,30,36,0,0,0,,6,0
1371,136,53,31,36,9,4,2,,9,7
1372,852,54,31,36,5,4,2,,6,10
1373,852,55,31,36,5,4,9,,7,3
1374,852,56,31,36,10,12,9,,4,2
1375,852,57,31,36,10,12,5,,4,11
1376,136,58,31,36,10,12,5,,4,3
1377,136,59,31,36,10,12,5,12,10,10
1378,136,60,31,36,10,12,8,12,0,0
1379,136,61,31,36,10,12,8,12,6,12
1380,136,62,31,36,8,0,10,2,6,12
1381,136,63,31,36,0,0,4,2,10,10
1382,661,53,32,36,12,8,2,,12,1
1383,661,54,32,36,12,4,2,,6,5
1384,661,55,32,36,5,4,9,,10,2
1385,136,56,32,36,5,4,9,,4,11
1386,852,57,32,36,5,12,5,,4,11
1387,852,58,32,36,10,12,5,,0,2
1388,136,59,32,36,10,12,5,,0,10
1389,136,62,32,36,8,0,10,2,0,8
1390,136,63,32,36,8,0,4,2,7,10
1391,136,64,32,36,0,0,0,2,4,0
1392,661,53,33,36,2,8,11,1,1,10
1393,661,54,33,36,12,8,11,0,6,8
1394,661,55,33,36,11,4,11,0,12,2
1395,661,56,33,36,11,4,9,,0,6
1396,136,58,33,36,5,4,5,,4,6
1397,978,61,33,36,8,12,8,,0,10
1398,136,63,33,36,8,0,12,2,2,1
1399,136,64,33,36,0,0,12,2,10,0
1400,661,53,34,36,6,1,7,1,6,1
1401,661,54,34,36,11,1,11,0,6,5
1402,661,55,34,36,11,3,11,0,12,3
1403,661,56,34,36,11,3,11,0,9,8
1404,978,57,34,36,11,4,11,,0,1
1405,136,58,34,36,5,4,3,,4,8
1406,978,59,34,36,4,12,3,,11,1
1407,978,60,34,36,4,12,3,10,4,0
1408,978,61,34,36,4,12,3,,4,1
1409,136,63,34,36,4,6,12,,10,4
1410,1107,64,34,36,4,0,7,,10,0
1411,661,54,35,36,1,1,7,11,6,4
1412,661,55,35,36,1,10,7,6,10,10
1413,661,56,35,36,1,10,7,,9,4
1414,978,57,35,36,1,10,7,,0,9
1415,978,58,35,36,1,1,7,6,4,7
1416,978,59,35,36,1,5,7,10,7,4
1417,978,61,35,36,1,5,7,10,10,4
1418,978,58,36,36,1,1,7,11,10,9
1419,852,53,25,37,5,4,2,4,6,2
1420,852,53,26,37,5,4,2,4,6,6
1421,852,53,27,37,5,4,2,4,9,3
1422,852,53,28,37,5,4,2,4,6,1
1423,852,53,29,37,5,4,2,4,0,7
1424,136,62,29,37,8,12,10,,7,12
1425,1098,63,29,37,8,12,4,,4,10
1426,1098,64,29,37,0,0,0,12,0,0
1427,136,62,30,37,8,12,10,,7,3
1428,1098,63,30,37,8,0,4,,4,5
1429,1098,64,30,37,0,0,0,12,0,0
1430,136,53,31,37,9,4,2,,6,1
1431,852,54,31,37,5,4,2,,10,5
1432,852,57,31,37,5,12,5,12,4,2
1433,136,58,31,37,10,12,5,,4,3
1434,136,59,31,37,10,12,5,12,4,10
1435,136,62,31,37,8,12,10,2,10,3
1436,1098,63,31,37,8,0,4,,7,10
1437,136,53,32,37,9,1,2,,1,10
1438,852,54,32,37,5,4,11,,0,8
1439,136,59,32,37,10,12,5,12,10,10
1440,136,62,32,37,8,12,10,2,10,8
1441,136,63,32,37,8,0,12,2,7,10
1442,661,54,33,37,9,1,11,1,0,8
1443,661,55,33,37,11,4,11,0,6,6
1444,852,58,33,37,5,4,3,,10,3
1445,978,59,33,37,5,4,3,,4,10
1446,136,62,33,37,8,12,12,2,7,10
1447,136,63,33,37,8,12,12,2,11,1
1448,136,64,33,37,4,0,12,10,4,0
1449,661,53,34,37,6,2,7,11,6,7
1450,661,54,34,37,1,1,7,11,10,10
1451,661,55,34,37,11,10,7,0,6,10
1452,978,58,34,37,9,1,7,1,4,10
1453,978,59,34,37,9,5,7,10,2,7
1454,978,60,34,37,9,5,7,10,4,0
1455,136,63,34,37,4,12,7,10,7,9
1456,661,55,35,37,1,1,7,11,9,4
1457,661,56,35,37,1,1,7,11,6,9
1458,978,58,35,37,1,1,7,11,4,9
1459,978,59,35,37,1,1,7,11,7,9
1460,852,53,25,38,5,4,2,4,6,6
1461,852,53,26,38,5,4,2,4,6,6
1462,136,62,33,38,4,12,7,10,7,10
1463,852,53,25,39,5,8,2,4,0,5
1464,136,63,34,39,1,2,7,11,8,9
