Index,Structure-ID,X,Y,Z,[0.001 Gene Threshold] K=13,[0.01 Gene Threshold] K=13,[85% Active Gene Threshold] K=13,[70% Edge Voxels] K=13,[Actb-74881516] K=13,[Chat-252] K=13
248,1098,64,28,23,0,0,0,12,4,0
249,1098,65,28,23,0,0,0,12,9,0
250,136,53,29,23,6,2,6,,5,7
251,852,54,29,23,6,2,6,,3,1
252,852,55,29,23,6,2,6,,5,7
253,852,56,29,23,2,2,6,,12,1
254,852,57,29,23,5,4,2,,6,1
255,852,58,29,23,10,12,5,,10,1
256,852,59,29,23,10,11,5,,4,4
257,136,60,29,23,10,11,8,,4,0
258,136,61,29,23,10,11,8,,4,10
259,136,62,29,23,8,11,10,,7,5
260,136,63,29,23,0,0,4,,7,7
261,136,64,29,23,0,0,0,,10,0
262,1098,65,29,23,0,0,0,,6,0
263,136,53,30,23,2,2,6,3,12,4
264,136,54,30,23,6,2,6,3,5,10
265,852,55,30,23,6,2,6,,12,7
266,136,56,30,23,2,8,6,,5,7
267,136,57,30,23,5,4,2,,1,7
268,136,58,30,23,10,12,5,,10,10
269,136,59,30,23,10,12,5,,4,7
270,136,60,30,23,10,12,8,12,0,0
271,136,61,30,23,8,12,8,12,10,10
272,136,62,30,23,8,0,10,2,10,8
273,136,63,30,23,0,0,4,,10,1
274,136,64,30,23,0,0,0,,10,0
275,136,53,31,23,12,8,6,3,1,4
276,136,54,31,23,2,2,6,3,9,5
277,136,55,31,23,2,8,6,3,9,5
278,136,56,31,23,2,8,9,7,5,10
279,136,57,31,23,5,4,2,7,9,12
280,136,58,31,23,5,12,5,12,10,5
281,136,59,31,23,10,12,5,,4,1
282,136,61,31,23,8,12,8,,0,5
283,136,62,31,23,8,0,10,,10,8
284,136,63,31,23,0,0,4,,10,1
285,1107,64,31,23,0,0,0,,0,0
286,136,54,32,23,12,8,6,,9,8
287,136,55,32,23,12,8,9,,1,3
288,136,56,32,23,12,8,9,7,5,6
289,136,57,32,23,5,4,2,,0,6
290,136,58,32,23,5,4,5,,10,12
291,136,59,32,23,10,12,5,,10,10
292,1048,60,32,23,10,12,8,,9,0
293,1048,61,32,23,8,12,8,,0,5
294,1107,62,32,23,8,0,10,,4,12
295,1107,63,32,23,0,0,4,,4,1
296,1107,64,32,23,0,0,0,,0,0
297,661,53,33,23,12,8,2,,1,4
