index,voxRowNum,Structure-ID,X,Y,Z,Cluster_4,Cluster_6,Cluster_8,Cluster_13,Actb-74881516
126,60087,661,55,35,21,0,4,4,4,0.16558181
127,60088,661,56,35,21,1,5,6,6,0.14806437
128,60089,978,57,35,21,1,5,6,6,0.14632115
129,60090,978,58,35,21,1,5,6,9,0.14007366
130,60091,978,59,35,21,1,5,6,6,0.1487153
131,60092,978,60,35,21,0,0,0,0,0.15474717
132,60093,978,61,35,21,0,0,0,10,0.15596122
133,60157,978,58,36,21,1,5,1,9,0.13971813
134,62230,852,54,26,22,3,1,5,12,0.12959309
135,62238,852,62,26,22,0,0,0,10,0.15789978
136,62296,852,53,27,22,3,1,5,5,0.12143878
137,62297,852,54,27,22,3,1,5,5,0.12473136
138,62298,852,55,27,22,1,5,1,9,0.138867
139,62302,852,59,27,22,0,0,0,10,0.15737551
140,62304,852,61,27,22,0,0,4,10,0.16116326
141,62305,852,62,27,22,2,4,7,7,0.17241037
142,62307,1098,64,27,22,0,4,4,10,0.16136338
143,62363,852,53,28,22,3,1,1,12,0.13114703
144,62364,852,54,28,22,3,1,5,5,0.124246806
145,62365,852,55,28,22,1,1,1,1,0.13421331
146,62366,852,56,28,22,1,5,6,9,0.14335547
147,62368,852,58,28,22,0,0,0,10,0.15778461
148,62369,852,59,28,22,2,2,7,2,0.17709434
149,62370,852,60,28,22,2,2,7,2,0.17865306
150,62371,852,61,28,22,2,2,7,2,0.17723835
151,62372,852,62,28,22,2,2,2,2,0.18151219
152,62373,1098,63,28,22,2,2,7,7,0.1759534
153,62374,1098,64,28,22,0,0,4,10,0.16027935
154,62375,1098,65,28,22,1,0,6,6,0.14880875
155,62430,136,53,29,22,1,1,1,1,0.13360393
156,62433,852,56,29,22,1,5,6,9,0.14232445
157,62434,852,57,29,22,0,0,4,10,0.15852635
158,62435,852,58,29,22,2,4,7,7,0.17165892
159,62436,852,59,29,22,2,2,2,2,0.18195386
160,62437,136,60,29,22,2,2,7,2,0.17795233
161,62438,136,61,29,22,2,4,7,7,0.17315225
162,62439,136,62,29,22,2,4,7,7,0.17235105
163,62440,1098,63,29,22,2,4,7,7,0.17078091
164,62441,1098,64,29,22,0,0,4,10,0.16079342
165,62442,1098,65,29,22,0,0,0,0,0.15340628
166,62497,136,53,30,22,3,1,1,1,0.13325416
167,62498,852,54,30,22,3,1,5,12,0.12799044
168,62499,852,55,30,22,0,0,0,0,0.15067965
169,62500,852,56,30,22,1,5,6,6,0.14556661
170,62501,852,57,30,22,0,4,4,4,0.16465898
171,62502,852,58,30,22,2,4,7,7,0.17336047
172,62504,136,60,30,22,0,4,4,4,0.16731817
173,62505,136,61,30,22,0,4,4,10,0.16162711
174,62506,136,62,30,22,0,4,4,4,0.16211444
175,62507,136,63,30,22,0,0,4,10,0.16082636
176,62508,136,64,30,22,0,0,0,10,0.15761845
177,62509,1098,65,30,22,0,0,4,10,0.15947375
178,62564,136,53,31,22,3,1,1,12,0.13279097
179,62565,136,54,31,22,1,5,6,9,0.14060846
180,62566,852,55,31,22,0,0,0,0,0.15328716
181,62567,136,56,31,22,1,5,6,6,0.14509803
182,62568,136,57,31,22,0,4,4,4,0.16715449
183,62569,136,58,31,22,0,4,4,4,0.16584425
184,62570,136,59,31,22,2,4,7,7,0.1688649
185,62572,136,61,31,22,0,0,4,10,0.16003661
186,62573,136,62,31,22,0,4,4,4,0.16306414
187,62574,136,63,31,22,0,0,0,10,0.15763609
188,62575,136,64,31,22,0,0,0,0,0.15043336
